Increasing awareness to the crisis of human trafficking in the US and around the world. ONLY 12 - because the average age a girl is raped for profit is only 12.,ORG
#hhppb = Human Trafficking / Harmful Traditional Practices / Prostitution / Pornography / Brothels Task Team. Working towards ending gender based violence.,ORG
We are a Dallas based 501c3 committed to end the sex trafficking epidemic in Texas through building homes for girls (12yo-17yo) to receive treatment and care.,ORG
#wemakecardsbecause Written On Your Heart exists to engage communities in supporting survivorship. Focus: Encouraging victims & survivors of human trafficking,ORG
Silence Softly Speaks organizational purpose is to combat conditions that lead to Human Trafficking with a focus on homeless and extremely poor women & children,ORG
"Providing long-term, holistic care for female survivors of trafficking utilizing a ranch environment and equine-assisted therapy.",ORG
We are a statewide organization committed to ending Human Trafficking in Nebraska.,ORG
Vigilante Trucker was established in 2011 as a Solution to ending the atrocity created by the sex slavery industry in the field of freight transport,ORG
We are the Greater New Orleans Human Trafficking Task Force. Stay up to date on what's being done in New Orleans to combat human trafficking.,ORG
Friends of Thai Daughters is a non profit org committed to protecting Thai girls from #humantrafficking. With two safe homes in Northern Thailand #ifollowback,ORG
"To help people get beyond just taking care of the need and figure out how to eliminate the causes of hunger, the homeless, poverty and human trafficking.",ORG
"A Grandparent with a mission to initiate an email, calling, letter writing campaign pressuring lawmakers & law enforcement to rescue & protect our children.",ORG
Stolen Lives is a thought-provoking educational resource looking at historical and contemporary slavery. AHRC & NASWUT funded with @WISE_Hull,ORG
The Modern Slavery Partnership for Hampshire & Isle of Wight is a multi-agency partnership set up to stop modern slavery in the two counties.,ORG
"The UK Modern Slavery Helpline. Call on 08000 121 700 in complete confidence to request help, report information or seek advice. We can't take info via Twitter",ORG
"Barnardo's National Service directly supporting children affected by trafficking together with raising awareness through training, strategy and 24/7 advice.",ORG
The Forced Labour Monitoring Group http://t.co/5FMwFuMFRf organises to provide academic and policy discussion around forced labour in the UK,ORG
Anti-Slavery Day falls on 18 October in the UK; It's an opportunity to host events aimed at drawing attention to the issue of human trafficking and slavery.,ORG
"West Midlands Anti Slavery Network - working with partners to reduce human trafficking in the West Midlands, the UK and Internationally.",ORG
Shouting out for #freedom #enditmovement SLAVERY STILL EXISTS! HELP END IT TODAY! @enditmovement #shinealightonslavery,ORG
"ALIGHT works at the intersection of law, tech and human trafficking to offer tools for justice for advocates and legal providers.",ORG
Oasis of Hope is a #nonprofit faith-based restoration program / safe house helping minor victims of domestic #sextrafficking (DMST).,ORG
"The Institute for Trafficked, Exploited, and Missing Persons (ITEMP) is dedicated to combating human-trafficking and exploitation around the globe.",ORG
"Criminal justice and advocacy for women of KC who suffer from homelessness, discrimination, addiction, mental illness, domestic violence and sexual exploitation",ORG
PNR is a collaborative effort that increases awareness of sexual trafficking among children & youth involved in NC's child welfare system. Follow/RTendorsement,ORG
"Working to abolish sex trafficking in Tucson through prevention, prosecution, and protection. Follow us on Instagram @soldnomore and https://t.co/er1zNwa9vc",ORG
For a Sustainable Future WITHOUT Human Trafficking /Pour un avenir durable SANS traite des personnes  #FreedomRelayMontreal #EnMarche #freedomrelay #humanrights,ORG
CBP is charged with securing our nation's borders and facilitating lawful international travel and trade. Tweets from Commissioner Kerlikowske are signed -RGK.,ORG
London's Metropolitan Police Service.   Also at http://t.co/lgQORuJh.   Don't report crime on Twitter. In emergencies always call 999. http://t.co/hQbnhW7l.,ORG
"Official Twitter Page of the FBI.  If you have a tip, please submit it here: https://t.co/56awXxJrEZ /",ORG
ICE is the largest investigative agency in DHS. Report suspicious criminal activity: http://t.co/DMYVYOOBVn   View our privacy policies: http://t.co/tdQSb7xnVs,ORG
An international nonprofit empowering women to rise above poverty and fight sex slavery and human trafficking. Shop MadeBySurvivors; empower women worldwide!,ORG
"Anti-Slavery Australia, UTS. University law research centre to end human trafficking, slavery & forced marriage with a free legal service for survivors,",ORG
Official advocacy team @IJM. Join the movement and take action to end slavery and protect the poor from violence. Tweet at us to get involved!,ORG
We are the Chicago Alliance Against Sexual Exploitation. We're committed to building a global community free from sexual exploitation.,ORG
"Ending modern slavery through education, advocacy and empowering survivors of human trafficking.",ORG
Turn Off The Red Light is a campaign to end prostitution and sex trafficking in Ireland. It is being run by an alliance of civil society organisations.,ORG
